CellLine,InitialCondition,Day,R,ϕ,η
983b,10000,12,333.198793361363,0.9120503979121699,0.6261919051230039
983b,10000,12,319.562709740738,0.8874285054927856,0.6162786550818856
983b,10000,12,334.815429345368,0.8914040513120397,0.6277449231713302
983b,10000,12,329.396535198735,0.8581347767243591,0.6483492808494276
983b,10000,12,318.819327349147,0.8322547134144435,0.6259047985966523
983b,10000,12,327.859685668794,0.8622275406240337,0.6460144072146151
983b,10000,12,320.411822176357,0.8193820388109718,0.47453625788077886
983b,2500,12,280.059879675099,0.8528661731983641,0.39876322205820613
983b,2500,12,283.511894591874,0.8812068224574366,0.4644580757761025
983b,2500,12,275.722432482016,0.8299816312711022,0.47421531619919344
983b,2500,12,288.258729960392,0.8262785073771235,0.4610781561304193
983b,2500,12,303.649004673785,0.8340207926910616,0.5228778519564244
983b,5000,12,310.505683190652,0.8571224126250787,0.5561098909297855
983b,5000,12,311.826915961118,0.8721298465091228,0.5414188802061861
983b,5000,12,317.917239847434,0.8089145157916847,0.5555322001279777
983b,5000,12,309.345770330934,0.8716147483962494,0.553345221181813
983b,5000,12,319.172360973964,0.8420590748006432,0.5463900797390718
983b,10000,21,298.292888481196,0.8701939126990221,0.8701939126990221
983b,10000,21,306.592838584665,0.8715817617027918,0.8429547512034375
983b,10000,21,352.157064774361,0.8856594449140054,0.8211030873406158
983b,10000,21,334.803678807153,0.901488577644905,0.8363508544940952
983b,2500,21,384.356488717233,0.9185048643583194,0.6729807648312287
983b,2500,21,358.020179899524,0.8907994830013268,0.758740560027089
983b,2500,21,347.279659113032,0.894834504364582,0.786080643447
983b,2500,21,340.831888307067,0.9096036325163969,0.771240845000801
983b,5000,21,322.428367557703,0.8728641161614947,0.8296577375721578
983b,5000,21,334.481847497919,0.9220076301071995,0.8190095083954098
983b,5000,21,377.003387980187,0.9261105279781173,0.7769765141760007
983b,5000,21,367.841946665636,0.9504800474431273,0.8050431283528342
983b,5000,21,375.11440827625,0.9416369607669877,0.8171690392788673
793b,10000,10,275.569893874437,0.764371351681914,0.28213847473175263
793b,10000,10,273.916884703698,0.7813000022608602,0.2755216838204181
793b,10000,10,265.010839258786,0.7117599608516937,0.17681939550529105
793b,2500,10,166.205969000995,0.0,0.0
793b,2500,10,185.199302482099,0.15443613950046903,0.0
793b,2500,10,159.517601087984,0.06993601074475568,0.0
793b,2500,10,179.19920251006,0.1581722134201294,0.0
793b,2500,10,173.742818473451,0.0,0.0
793b,5000,10,238.71388504235,0.8065836944602204,0.0
793b,5000,10,231.608968287816,0.4068799775730084,0.0
793b,5000,10,242.787984932023,0.7838419109807646,0.0
793b,5000,10,230.364559596604,0.5563045637507915,0.0
793b,5000,10,237.503599376158,0.5467419706158501,0.0
793b,10000,12,308.221382536089,0.8584165740155636,0.43978550694363844
793b,10000,12,302.344084372311,0.7609453162081607,0.33780971944016186
793b,10000,12,297.547601812784,0.8334147765311534,0.3913243385048392
793b,10000,12,300.915046868956,0.7897642480006322,0.3618574412710417
793b,10000,12,300.868466793828,0.7825242616487609,0.31670671329904787
793b,2500,12,208.917263347682,0.2017150525391629,0.0
793b,2500,12,187.517542269707,0.03159650948541326,0.0
793b,2500,12,214.991515855204,0.5457334954533742,0.0
793b,2500,12,202.890214787498,0.5780853122200412,0.0
793b,5000,12,248.889186944833,0.6302335808361658,0.0
793b,5000,12,270.131282847799,0.6425059516782217,0.0
793b,5000,12,258.101153817785,0.7515987935214175,0.0
793b,5000,12,271.147032750268,0.8169279030577776,0.20397321607448066
793b,5000,12,254.364379232222,0.727031077353816,0.0
983b,10000,16,335.407563111091,0.8548429398055691,0.7558711157046316
983b,10000,16,309.557925589039,0.8771063470521395,0.7590000287429353
983b,10000,16,308.746659506376,0.8557320830346049,0.7026055045263063
983b,10000,16,336.008166744894,0.9170191984366679,0.6912045590751561
983b,10000,16,331.679562203307,0.9246340592118498,0.7206155236016074
983b,10000,16,335.628153442803,0.9115757964688931,0.7092843796729256
983b,10000,18,368.057127323025,0.9061448712904575,0.7337010063176341
983b,10000,18,361.684715581987,0.9142721129920062,0.7091214970970656
983b,10000,18,309.094492056185,0.9020313249341027,0.7568534719279377
983b,10000,18,367.002742576494,0.8852478627766218,0.7363892331497759
983b,10000,18,352.080250971521,0.926571771949435,0.7836125254633168
983b,10000,18,380.541355389761,0.8365822410995143,0.6955387323926807
983b,2500,18,340.439203088723,0.825864748448218,0.657613649733405
983b,2500,18,340.065587515057,0.9168638920452508,0.7331774834411215
983b,2500,18,349.376905874552,0.902004902469503,0.6911151003020446
983b,2500,18,335.296113510702,0.8536668862202992,0.6572582307273925
983b,2500,18,326.227423752239,0.8523970387204961,0.6934625809231997
983b,2500,18,361.417440477114,0.8985351909959417,0.6294063280064914
983b,5000,18,350.062425953617,0.8744586542750321,0.7241750096169345
983b,5000,18,358.309204589405,0.9288088336117802,0.7061256102564952
983b,5000,18,348.124029418124,0.874209776376298,0.6900479179010203
983b,5000,18,338.598229979924,0.8689554600263362,0.7227585551575125
983b,5000,18,338.40355479535,0.9108690734533251,0.6655689184978795
983b,5000,18,352.103995208978,0.8999259316526508,0.7510428340865617
983b,10000,21,344.608581909396,0.8395471420250159,0.778162868454407
983b,10000,21,350.381174560839,0.8968245340043665,0.7490565526664993
983b,10000,21,307.528945864632,0.8644502282460035,0.8508486255898905
983b,2500,21,350.595850443536,0.9342320212020092,0.7699361492714035
983b,2500,21,307.807066060251,0.8972354903167418,0.7898813785190879
983b,2500,21,311.675480105162,0.8647154011782858,0.7662719988322415
983b,2500,21,357.031200486193,0.92866190798379,0.7480635567258037
983b,2500,21,375.821680160331,0.9235302791406245,0.7553312497899322
983b,2500,21,309.277404691475,0.9256862737149983,0.7807021838373002
983b,2500,21,292.38337000994,0.82691405130281,0.8115616268019487
983b,2500,21,343.96580945475,0.886106398927325,0.7451239068712753
983b,2500,21,307.29298592329,0.8668356076971895,0.8099731446152013
983b,2500,21,322.549599722378,0.9033031069491415,0.7641794799089164
983b,5000,21,339.961451267172,0.9207001417887192,0.8305531162419015
