CellLine,InitialCondition,Day,R,ϕ,η
983b,2500,3,153.246286140909,0.0,0.0
983b,2500,3,148.40726353723,0.1417451311731304,0.0
983b,2500,3,157.043671814893,0.17042847144999834,0.0
983b,2500,3,157.737321324137,0.24075066560505043,0.0
983b,2500,3,156.065571356927,0.1837030232975717,0.0
983b,2500,3,161.712921689363,0.0,0.0
983b,5000,3,190.345616408163,0.0,0.0
983b,5000,3,187.500494922344,0.0,0.0
983b,5000,3,184.99871285275,0.0,0.0
983b,5000,3,178.106388371086,0.0,0.0
983b,5000,3,181.168386163823,0.0,0.0
983b,5000,3,166.099417215775,0.0,0.0
983b,5000,3,177.820382264495,0.0,0.0
983b,5000,3,189.46775682111,0.23317527311858466,0.0
983b,5000,3,186.883123339434,0.0,0.0
983b,10000,3,206.658235376503,0.0,0.0
983b,10000,3,237.476680099616,0.1718559480343834,0.0
983b,10000,3,223.587324807245,0.0,0.0
983b,10000,3,224.679991934581,0.0,0.0
983b,10000,3,229.581906316792,0.0,0.0
983b,10000,3,213.171034637898,0.26942289108762485,0.0
983b,2500,4,171.71856120217,0.342332387959928,0.0
983b,2500,4,176.855346553831,0.0,0.0
983b,2500,4,174.437724725431,0.2162408196372088,0.0
983b,2500,4,177.144298831868,0.2758356060384319,0.0
983b,2500,4,173.983242184046,0.0,0.0
983b,2500,4,166.668381559175,0.33799079707517465,0.0
983b,2500,4,169.192694542858,0.0,0.0
983b,2500,4,168.757599661415,0.0,0.0
983b,2500,4,171.705673449732,0.0,0.0
983b,2500,4,173.05648883319,0.0,0.0
983b,5000,4,209.97268346709,0.18811483453154493,0.0
983b,5000,4,220.44306581346,0.0,0.0
983b,5000,4,224.692029877243,0.0,0.0
983b,5000,4,202.673164726428,0.0,0.0
983b,5000,4,205.338072800304,0.0,0.0
983b,5000,4,227.17772830467,0.0,0.0
983b,5000,4,213.835552796455,0.0,0.0
983b,5000,4,231.478348841258,0.0,0.0
983b,5000,4,220.458681167339,0.0,0.0
983b,10000,4,293.606113458383,0.21378219440429763,0.0
983b,10000,4,277.277789590792,0.2574874029861555,0.0
983b,10000,4,270.263236884587,0.19507388837166065,0.0
983b,10000,4,290.541722117258,0.0,0.0
983b,10000,4,284.357109732088,0.3971395198686941,0.0
983b,10000,4,277.125219823939,0.33583455711820476,0.0
983b,10000,4,277.726142581945,0.22712370055736344,0.0
983b,10000,4,269.952814872765,0.3926776596316373,0.0
983b,10000,4,277.912005544058,0.3438026414578565,0.0
983b,10000,4,271.113477586688,0.2523488550991095,0.0
983b,2500,5,184.942881038335,0.37204264034580353,0.0
983b,2500,5,187.36537264981,0.15528157898966666,0.0
983b,2500,5,184.26490781344,0.0,0.0
