CellLine,InitialCondition,Day,R
983b,1250,0.25,8.27902990951939
983b,1250,0.25,6.94503398504498
983b,1250,0.25,2.25326682593765
983b,1250,0.25,0.0
983b,1250,0.25,5.03845747836149
983b,1250,0.25,2.75967670058601
983b,1250,0.25,0.0
983b,1250,0.25,4.21547566549739
983b,1250,0.25,2.25326682593765
983b,1250,0.25,5.96158339193533
983b,1250,0.25,7.30141759475544
983b,1250,0.25,10.9231154041065
983b,1250,0.25,3.56272744966948
983b,1250,0.25,3.56272744966948
983b,1250,0.25,11.7083163813348
983b,2500,0.25,17.2341753790379
983b,2500,0.25,12.8455969958801
983b,2500,0.25,13.7983840796459
983b,2500,0.25,12.3416493968653
983b,2500,0.25,13.6131616290582
983b,2500,0.25,14.8613148109059
983b,2500,0.25,15.1153718033239
983b,2500,0.25,11.489450406606
983b,2500,0.25,27.5046270014901
983b,2500,0.25,13.3305045239858
983b,2500,0.25,13.7060857422586
983b,2500,0.25,17.3076693356072
983b,2500,0.25,16.0124677241474
983b,2500,0.25,13.8900691159082
983b,2500,0.25,16.326467048814
983b,2500,0.25,16.0915424820662
983b,2500,0.25,13.2349448755827
983b,2500,0.25,12.2383710039716
983b,2500,0.25,17.3076693356072
983b,2500,0.25,20.4663066723628
983b,2500,0.25,12.8455969958801
983b,2500,0.25,12.7464012703697
983b,2500,0.25,9.95015632752276
983b,5000,0.25,16.4040282592811
983b,5000,0.25,15.3652296900363
983b,5000,0.25,15.1153718033239
983b,5000,0.25,17.3808525298962
983b,5000,0.25,17.011790445205
983b,5000,0.25,12.9440313343586
983b,5000,0.25,15.8531359918877
983b,5000,0.25,12.4440719489413
983b,5000,0.25,15.199114500128
983b,5000,0.25,16.6345412262
983b,5000,0.25,14.7756577205067
983b,5000,0.25,15.6921865569369
983b,5000,0.25,16.7864586937421
983b,5000,0.25,12.5456570842152
983b,5000,0.25,13.7060857422586
983b,5000,0.25,14.6895011568905
983b,5000,0.25,19.0531007378543
983b,5000,0.25,16.7864586937421
983b,5000,0.25,17.0862400532083
983b,5000,0.25,13.3305045239858
983b,5000,0.25,19.9003110555234
983b,5000,0.25,14.9464799505818
983b,10000,0.25,14.8613148109059
983b,10000,0.25,16.6345412262
983b,10000,0.25,15.2823972789708
983b,10000,0.25,17.2341753790379
983b,10000,0.25,13.5196000138529
983b,10000,0.25,19.0531007378543
983b,10000,0.25,17.4537279591006
983b,10000,0.25,18.026135313831
983b,10000,0.25,19.6435225055854
983b,10000,0.25,18.5809139094621
983b,10000,0.25,18.8521819795479
983b,10000,0.25,17.9555761450403
983b,10000,0.25,19.6435225055854
983b,10000,0.25,22.5889278238129
983b,10000,0.25,21.7880492058712
983b,10000,0.25,16.4040282592811
983b,10000,0.25,14.7756577205067
983b,10000,0.25,17.3808525298962
983b,10000,0.25,22.8681565774527
983b,10000,0.25,16.7106725969193
983b,1250,0.5,9.5598008487251
983b,1250,0.5,11.153100554151
983b,1250,0.5,6.75979882970996
983b,1250,0.5,6.94503398504498
983b,1250,0.5,6.56934511301205
983b,1250,0.5,7.64119968091186
983b,1250,0.5,9.01306589109096
